project_name,github_url
titanium_desktop,https://github.com/appcelerator-archive/titanium_desktop
FlagCX,https://github.com/flagos-ai/FlagCX
parallel-rdp,https://github.com/Themaister/parallel-rdp
metron,https://github.com/aappleby/metron
realtime_tools,https://github.com/ros-controls/realtime_tools
filezilla,https://github.com/basvodde/filezilla
clang-llvm-tutorial,https://github.com/lijiansong/clang-llvm-tutorial
SX126x-Arduino,https://github.com/beegee-tokyo/SX126x-Arduino
JAERO,https://github.com/jontio/JAERO
flexisip,https://github.com/BelledonneCommunications/flexisip
nanomap_ros,https://github.com/peteflorence/nanomap_ros
code_saturne,https://github.com/code-saturne/code_saturne
SlamBook,https://github.com/leftthomas/SlamBook
aubo_robot,https://github.com/AuboRobot/aubo_robot
Makeblock-Libraries,https://github.com/Makeblock-official/Makeblock-Libraries
pycdc,https://github.com/zrax/pycdc
oclint,https://github.com/oclint/oclint
fully-homomorphic-encryption,https://github.com/google/fully-homomorphic-encryption
node-addon-api,https://github.com/nodejs/node-addon-api
cppast,https://github.com/standardese/cppast
pharos,https://github.com/cmu-sei/pharos
creduce,https://github.com/csmith-project/creduce
cabin,https://github.com/cabinpkg/cabin
pugixml,https://github.com/zeux/pugixml
nzbget,https://github.com/nzbget/nzbget
impala,https://github.com/apache/impala
lexy,https://github.com/foonathan/lexy
phasar,https://github.com/secure-software-engineering/phasar
clp,https://github.com/y-scope/clp
ecnu-sa-labs,https://github.com/ecnu-sa-labs/ecnu-sa-labs
ik-geo,https://github.com/rpiRobotics/ik-geo
vision_msgs,https://github.com/ros-perception/vision_msgs
rygel,https://github.com/Koromix/rygel
gjs,https://github.com/GNOME/gjs
choreonoid,https://github.com/choreonoid/choreonoid
ApertusVR,https://github.com/MTASZTAKI/ApertusVR
VisRTX,https://github.com/NVIDIA/VisRTX
node-oracle,https://github.com/joeferner/node-oracle
geodetic_utils,https://github.com/ethz-asl/geodetic_utils
ui,https://github.com/kosenko/ui
